Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
17:50:29.300,2,-104,-85.7,9.9,-18.3,-107.6
17:50:29.340,2,-105.8,-86.7,11.2,-19.2,-112
17:50:29.450,2,-103.2,-85.6,3.3,-17.7,-109.5
17:50:29.660,2,-95.8,-82.9,9.1,-12.8,-107.2
17:50:29.740,2,-107,-86.2,7.1,-20.8,-109.1
17:50:29.930,2,-103.7,-84.9,8.7,-18.8,-108.9
17:50:30.980,2,-101.5,-85.3,18.8,-16.2,-100.5
17:50:31.180,2,-101.2,-85.8,4.2,-15.4,-108.5
17:50:31.380,2,-105.3,-86.2,2.8,-19,-105.7
17:50:31.470,2,-99.5,-85.8,7.8,-13.7,-106.2
17:50:31.500,2,-102.1,-89.1,17.8,-13,-111.6
17:50:31.540,2,-105.7,-87,14.8,-18.7,-111.2
17:50:37.978,1,-96.5,-86.2,13.3,-10.3,-103.5
17:50:38.018,1,-97,-86.5,11.8,-10.4,-105
17:50:38.118,1,-93.5,-84.7,13.3,-8.9,-106.2
17:50:38.258,1,-96,-85.1,10.3,-10.9,-101.6
17:50:38.418,1,-97.7,-85.4,13.8,-12.2,-104.4
17:50:38.630,1,-100.1,-86.4,8.2,-13.7,-107.9
17:50:38.698,1,-95.3,-84.8,14.2,-10.5,-98
17:50:38.738,1,-89.1,-81.8,12.3,-7.3,-104.5
17:50:38.778,1,-93,-81,10.2,-12,-98.8
17:50:39.058,1,-98,-85.7,9.3,-12.3,-107.3
17:50:39.098,1,-100.7,-86.3,8.3,-14.4,-110.6
17:50:39.218,1,-93.6,-82.8,15.2,-10.8,-103
17:50:39.298,1,-96.4,-84.2,14.2,-12.1,-101.2
17:50:39.610,1,-95.4,-83.4,11.9,-12,-100.2
17:50:39.940,1,-95.4,-83.2,9.2,-12.2,-105.6
17:50:39.990,1,-89.6,-79.7,14.5,-10,-98.9
17:50:40.280,1,-95.8,-85.8,9.9,-10,-103.1
17:50:40.710,1,-99.4,-85.7,9.8,-13.7,-107.6
17:50:41.008,1,-94.8,-84,7.2,-10.8,-101.2
17:50:41.128,1,-95.7,-83.8,12.8,-11.9,-106.1
17:50:41.298,1,-95.6,-81.2,11.6,-14.5,-108.3
17:50:41.358,1,-96,-83,8.3,-13,-105.8
17:50:42.098,1,-94.3,-82.8,11.2,-11.5,-104.8
17:50:42.298,1,-97.7,-84,19.3,-13.7,-102.4
17:50:42.378,1,-93.3,-84.9,13.6,-8.4,-105.9
17:50:42.438,1,-91.8,-81.4,12,-10.4,-95.9
17:50:42.658,1,-93.9,-82.1,9.3,-11.8,-97
17:50:42.808,1,-95.1,-82.1,9.2,-13.1,-101
17:50:42.948,1,-92.4,-85.8,7.2,-6.7,-99.8
17:50:43.220,1,-97.4,-84.8,12.9,-12.7,-104.1
17:50:43.290,1,-95.5,-83.8,10.2,-11.8,-98.3
17:50:43.698,1,-90.4,-83.2,11.6,-7.2,-99.9
17:50:44.000,1,-95.3,-83.1,5.3,-12.2,-101.8
17:50:44.060,1,-90.6,-79.6,8.3,-11.1,-104
17:50:44.390,1,-90.6,-80.4,8.9,-10.1,-95.7
17:50:44.598,1,-91.3,-83.5,6.3,-7.8,-101.4
17:50:44.898,1,-94.9,-81.7,5.2,-13.2,-101.9
17:50:45.110,1,-90.4,-79.8,1.2,-10.7,-99.6
17:50:45.320,1,-92.3,-81.4,8.2,-10.9,-101.7
17:50:45.440,1,-96.1,-82.8,3.6,-13.4,-110.5
17:50:45.740,1,-91.8,-83.5,10.3,-8.3,-100.3
17:50:46.160,1,-88.9,-77.7,8.3,-11.2,-99.4
17:50:46.550,1,-93.3,-82,1,-11.3,-99.9
17:50:46.620,1,-93.6,-82.6,8,-11.1,-99.4
17:50:46.810,1,-93.7,-81.8,5.8,-11.9,-101.1
17:50:46.880,1,-93.8,-85.4,8,-8.4,-109.9
17:50:47.118,1,-92.2,-81.5,6.4,-10.7,-96.2
17:50:47.138,1,-91.4,-84.8,8.2,-6.6,-103.2
17:50:47.218,1,-95.9,-86.2,0.2,-9.6,-109.6
17:50:47.298,1,-95.1,-85.9,6.2,-9.2,-109.6
17:50:47.530,1,-96,-86.2,0,-9.8,-105.9
17:50:47.610,1,-92,-84.3,6,-7.6,-100.1
17:50:47.680,1,-102.7,-81.2,6.2,-21.5,-111.8
17:50:47.690,1,-100.6,-80,5,-20.6,-102.5
17:50:47.700,1,-101.9,-80.2,1.2,-21.7,-106.9
17:50:47.910,1,-92,-83.2,5,-8.7,-101.5
17:50:48.250,1,-91.1,-84.5,1,-6.6,-107.7
17:50:48.630,1,-91.9,-84.8,2,-7.1,-101.1
17:50:48.710,1,-92,-84.5,-1,-7.5,-105.1
17:50:48.750,1,-95.5,-83.8,3,-11.7,-108
17:50:48.918,1,-92.1,-85.8,2.2,-6.3,-102
17:50:49.058,1,-91.7,-82,4.2,-9.7,-103.9
17:50:49.098,1,-93.6,-84.7,4.2,-8.9,-106.6
17:50:49.278,1,-90.5,-84.8,0.2,-5.7,-103.6
17:50:49.298,1,-90.4,-84.7,0.2,-5.7,-105.8
17:50:49.378,1,-93,-83.1,2.2,-9.9,-106.5
17:50:49.770,1,-89.4,-82.8,4,-6.7,-106.2
17:50:49.998,1,-85,-81.7,-1.8,-3.4,-102.4
17:50:50.098,1,-91.2,-85,6.2,-6.2,-105.2
17:50:50.178,1,-87.1,-83.2,4.2,-3.9,-102.3
17:50:50.358,1,-91.6,-84.6,6.2,-7,-102.2
17:50:50.538,1,-88,-82.1,5.2,-5.9,-98.1
17:50:50.618,1,-87.6,-82.3,3.2,-5.3,-99.8
17:50:50.818,1,-87.6,-83.3,6.2,-4.3,-100.6
17:50:50.978,1,-87.5,-83.6,4.2,-3.9,-105.4
17:50:51.078,1,-84.5,-80.8,2.2,-3.8,-99.1
17:50:51.258,1,-90,-84.4,4.2,-5.6,-101.1
17:50:51.298,1,-85.1,-81.6,2.2,-3.5,-101.4
17:50:51.378,1,-87.3,-83.1,6.2,-4.3,-99.4
17:50:51.438,1,-92.7,-86.1,4.2,-6.6,-103.7
17:50:51.510,1,-84.4,-79.5,-4,-4.9,-99.4
17:50:51.590,1,-82.4,-77.1,-2.3,-5.3,-98.3
17:50:51.850,1,-88.4,-84.3,1.7,-4,-102.9
17:50:51.978,1,-88,-83.7,-0.8,-4.3,-107.2
17:50:52.018,1,-91.2,-85.5,1.2,-5.7,-101.4
17:50:52.158,1,-85.5,-81.4,1.2,-4.1,-96
17:50:52.258,1,-90.2,-85.8,-4.8,-4.5,-110
17:50:52.650,1,-87.5,-82.5,-7,-5,-102.7
17:50:53.230,1,-88.5,-83.6,-8,-5,-107.1
17:50:53.270,1,-92.9,-82.5,-3.2,-10.4,-104.2
17:50:53.280,1,-86.6,-80.5,-1,-6.1,-98.7
17:50:53.290,1,-82.2,-79.2,-4,-3,-100.1
17:50:53.370,1,-84.8,-81.1,0.8,-3.7,-102.1
17:50:53.660,1,-84.8,-81.2,1.2,-3.7,-93.4
17:50:54.178,1,-76.7,-71.9,1,-4.7,-92.8
17:50:54.258,1,-76.7,-73.7,0.4,-3,-89.2
17:50:54.500,1,-85.2,-81.8,1.2,-3.5,-99.7
17:50:54.730,1,-84.3,-79.4,2.7,-4.9,-100.7
17:50:54.800,1,-86,-81.7,0.2,-4.3,-98.1
17:50:55.530,1,-80.4,-76.3,-4,-4.1,-98.4
17:50:55.830,1,-84.7,-80.5,-6,-4.2,-101.3
17:50:55.910,1,-82.7,-76.2,-0.2,-6.4,-92.9
17:50:56.170,1,-82.2,-76.3,-4.4,-5.9,-105.3
17:50:56.250,1,-88.3,-82.8,0.7,-5.5,-101.2
17:50:56.578,1,-79,-76.4,-0.8,-2.6,-96.3
17:50:56.890,1,-71.9,-69.1,-3.3,-2.8,-89.1
17:50:57.058,1,-88.5,-82.2,-1.6,-6.3,-101.4
17:50:57.138,1,-84.9,-79.8,-2,-5.1,-98.2
17:50:57.218,1,-83.7,-77.1,-5.8,-6.7,-96.7
17:50:57.378,1,-80.5,-76.8,-2.6,-3.7,-101.6
17:50:57.680,1,-85.3,-79.4,-0.2,-5.9,-105.2
17:50:58.098,1,-88,-78.4,-6.6,-9.6,-98.2
17:50:58.218,1,-83.6,-73,-8.8,-10.6,-95.7
17:50:58.288,1,-80.3,-70.8,-11,-9.5,-96.3
17:50:58.418,1,-85.8,-74.8,-5.8,-11,-103.3
17:50:58.700,1,-77.8,-69.7,-6,-8.2,-92.2
17:50:59.000,1,-81.7,-73,-7.2,-8.7,-97.5
17:50:59.050,1,-79.4,-74.8,-7.4,-4.7,-91.5
17:50:59.578,1,-84.8,-74.6,-5.2,-10.3,-99.3
