RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-69.9,-65.0,-22.3,-89.8,-88.64515654914713
-85.1,-71.2,-21.3,-102.5,-98.54924933024708
-78.9,-68.3,-9.0,-87.8,-91.74415330965881
-79.6,-67.5,-12.8,-89.9,-92.38016203301984
-80.3,-71.3,-12.2,-91.4,-94.6523030796431
-82.9,-62.4,-14.0,-99.1,-91.28038209940576
-60.8,-57.8,-17.9,-83.1,-79.79479756008642
-59.9,-56.4,-27.6,-80.2,-80.58528184611788
-59.0,-56.6,-19.9,-77.4,-78.74575912636725
-53.2,-49.3,-28.9,-77.1,-73.99749640048137
-49.1,-46.6,-26.6,-69.3,-70.24431319284176
-48.1,-45.6,-31.3,-71.5,-70.20215266213732
-46.9,-41.8,-33.4,-69.2,-68.01183407992701
-44.2,-41.2,-36.0,-68.4,-67.01584550226218
-44.1,-40.8,-41.4,-62.6,-67.84090192409528
-45.2,-41.6,-50.0,-69.1,-70.49857920829896
-44.5,-41.9,-46.4,-67.1,-69.62863626800178
-53.7,-44.5,-30.2,-66.9,-71.84730192842058
-62.0,-51.8,-26.8,-78.4,-78.82724076599521
-61.9,-53.9,-24.6,-81.2,-79.49149471046528
-59.9,-50.2,-24.0,-78.9,-76.45884918380271
-69.1,-59.7,-27.8,-86.5,-86.49392495795787
-67.4,-57.0,-24.8,-78.4,-83.65830879284586
-67.7,-55.9,-23.6,-85.0,-82.94538572846699
-62.2,-49.9,-31.6,-80.4,-78.8409249873701
-65.8,-54.5,-27.8,-84.9,-82.18602626493468
-61.8,-52.3,-33.8,-82.6,-80.42437753074029
-59.4,-55.1,-30.2,-79.2,-80.17579575043403
-64.4,-53.9,-31.2,-85.6,-81.924757725494
-71.6,-65.8,-17.6,-92.1,-88.8863974876457
-76.0,-65.8,-21.2,-83.8,-91.5530197769231
-70.6,-60.3,-20.2,-84.6,-85.95264008149009
-84.0,-66.6,-26.0,-91.9,-96.48836571867344
-77.0,-72.8,-17.4,-97.4,-95.06762769188316
-82.0,-71.2,-4.7,-90.9,-93.83544781310232
-82.2,-67.7,-10.2,-94.5,-93.11263775448197
-85.0,-72.5,-10.2,-93.6,-96.98057727882485
-72.1,-65.2,-11.0,-84.6,-87.44737989907398
-83.3,-72.9,-6.8,-93.9,-95.76468625752251
-68.0,-59.4,-4.0,-78.9,-81.04637834059088
-68.4,-61.9,-8.2,-88.5,-83.440747635117
-67.9,-62.0,-7.6,-85.3,-83.15408792203688
-72.2,-64.6,-6.6,-90.6,-86.27540718537257
-67.0,-60.4,-11.8,-89.4,-82.72614360065688
-75.8,-65.7,-14.0,-92.4,-89.95852059711575
-79.8,-69.8,-15.2,-96.9,-94.21375110625357
-69.2,-60.0,-16.2,-82.4,-84.36417941589619
-76.0,-69.8,-19.2,-95.8,-93.34385875107628
